actor_1,actor_2,shared_movies_count
Humphrey Bogart,Sydney Greenstreet,2
Peter Lorre,Humphrey Bogart,2
Peter Lorre,Sydney Greenstreet,2
Al Pacino,Robert Duvall,2
Don Rickles,Annie Potts,2
Marlon Brando,Robert Duvall,2
Bruce Willis,William Atherton,2
Bill Murray,Chris Elliott,2
Ed Harris,Michael Biehn,2
Chris Elliott,Lin Shaye,2
Pete Postlethwaite,Miriam Margolyes,2
Pete Postlethwaite,David Thewlis,2
Nicolas Cage,William Forsythe,2
Al Pacino,Diane Keaton,2
Michael Keaton,Michael Gough,2
Linda Hamilton,Earl Boen,2
Harve Presnell,John Carroll Lynch,2
Tom Hanks,Bill Pullman,2
Tom Hanks,Meg Ryan,2
Catherine O'Hara,Glenn Shadix,2
Annie Potts,Jim Varney,2
Don Rickles,John Ratzenberger,2
Arnold Schwarzenegger,Linda Hamilton,2
Arnold Schwarzenegger,Earl Boen,2
John Ratzenberger,Tim Allen,2
Michael Keaton,Pat Hingle,2
Tom Hanks,Annie Potts,2
Tom Cruise,Ving Rhames,2
